Bug ID,Product,Component,Assignee,Status,Resolution,Summary,Change Request,Priority,Severity
176202,Calendar,Sunbird Only,ajmalvs,RESOLVED,INVALID,Testing the bug entry, ---,P1,normal
1727061,Calendar,Provider: CalDAV,ben.bucksch,RESOLVED,FIXED,(MS) Microsoft Teams meeting description is mangled when stored on google calendar, ---,P1,S1
458828,Calendar,Provider: CalDAV,dbo.moz,RESOLVED,FIXED,Many errors when setting up zimbra calendar, ---,P1,normal
462326,Calendar,General,dbo.moz,RESOLVED,FIXED,Thunderbird with Lightning leaks on Shutdown., ---,P1,normal
299327,Calendar,Lightning Only,dmosedale,RESOLVED,FIXED,Events created after 17:00 appear in the next day, ---,P1,major
301484,Calendar,Internal Components,dmosedale,RESOLVED,DUPLICATE,need a strategy for dealing with TZ changes on existing data, ---,P1,major
761178,Calendar,Provider: CalDAV,fschlich,RESOLVED,FIXED,Malformed URL can cause Lightning to delete complete calendar file (CalDAV), ---,P1,critical
1008735,Calendar,Calendar Frontend,geoff,RESOLVED,FIXED,changing application timezone does not update times in active view., ---,P1,major
1588516,Calendar,Calendar Frontend,geoff,RESOLVED,FIXED,Calendar start-up fails if AppMenu button is missing from toolbar, ---,P1,critical
1623276,Calendar,Provider: CalDAV,geoff,RESOLVED,FIXED,New events do not appear in the Today Pane with a cached calDAV calendar, ---,P1,normal
1626391,Calendar,Printing,geoff,RESOLVED,FIXED,Calendar events will not print (the preview as well as printout is just blank), ---,P1,normal
1667324,Calendar,Provider: CalDAV,geoff,RESOLVED,FIXED,Subscribing to Google calendars does not save the password, ---,P1, --
1669950,Calendar,Internal Components,geoff,RESOLVED,FIXED,Update timezones to 2020d, ---,P1,normal
1738867,Calendar,Provider: Local Storage,geoff,RESOLVED,FIXED,Some recurring events missing from agenda on first load, ---,P1,S1
1083934,Calendar,Provider: GData,giermann,RESOLVED,FIXED,Google calendar provider ignores default new event/task reminder setting, ---,P1,normal
1695039,Calendar,E-mail based Scheduling (iTIP/iMIP),henry,RESOLVED,FIXED,invites do usually not show as styled anymore, ---,P1, --
