Bug ID,Product,Component,Assignee,Status,Resolution,Summary,Change Request,Priority,Severity
276934,Firefox,Keyboard Navigation,aaronlev,RESOLVED,DUPLICATE,"After closing tab, Space doesn't scroll down one page", ---,P1,normal
1589425,Firefox,Messaging System,abenson,RESOLVED,WONTFIX,Promoting Picture in Picture using CFR, ---,P1,normal
1712221,Firefox,New Tab Page,achurchwell,RESOLVED,WONTFIX,"Update ""personalize"" drawer drop shadow", ---,P1, --
1720578,Firefox,Top Sites,achurchwell,RESOLVED,DUPLICATE,Sponsored Topsites should retrieve their icons from Contile CDN, ---,P1, --
1750788,Firefox,New Tab Page,achurchwell,RESOLVED,INVALID,Add ability for New Tab Page to set a theme, ---,P1, --
1060367,Firefox,Search,adw,RESOLVED,WORKSFORME,[e10s] Search engine add-ons using POST do not work with e10s, ---,P1,normal
1326826,Firefox,Search,adw,RESOLVED,DUPLICATE,Popup with search suggestions hides on 'mousedown' over some buttons, ---,P1,normal
1328104,Firefox,Search,adw,RESOLVED,DUPLICATE,Add Search Engine Button Does Not Work, ---,P1,normal
1358676,Firefox,Address Bar,adw,RESOLVED,INVALID,One-off hover/mouseover color should be darker to match spec, ---,P1,normal
1377535,Firefox,Theme,adw,RESOLVED,WORKSFORME,Icons in page action popup should explicitly set a fill color, ---,P1,normal
1423247,Firefox,Address Bar,adw,RESOLVED,WONTFIX,Couple Awesome Bar Composition (matchBuckets pref) to user's Address bar state (unified vs. 2 bar), ---,P1,normal
1492226,Firefox,Address Bar,adw,RESOLVED,WONTFIX,Move UnifiedComplete.js to browser/components/urlbar, ---,P1,normal
1512110,Firefox,Address Bar,adw,RESOLVED,DUPLICATE,Implement selection/highlighting, ---,P1,normal
1550584,Firefox,Address Bar,adw,RESOLVED,WORKSFORME,The space around the identity box separator/divider is now asymmetrical, ---,P1,normal
1595653,Firefox,Address Bar,adw,RESOLVED,WONTFIX,[Nudges] Let extensions set the urlbar value or at least clear it, ---,P1,normal
1602953,Firefox,Address Bar,adw,RESOLVED,WONTFIX,Don't use the fade gradient for tip text, ---,P1,normal
1614092,Firefox,Address Bar,adw,RESOLVED,DUPLICATE,"Make proposal v2 for letting experiment extensions create their own result types with custom views, plus prototype", ---,P1,normal
1617076,Firefox,Address Bar,adw,RESOLVED,WONTFIX,Force the muxer to ignore built-in tips when extension tips are present, ---,P1,normal
1625254,Firefox,Address Bar,adw,RESOLVED,WONTFIX,NVDA screen reader doesn’t read the intervention cards “Get Help” button on mouseover, ---,P1,normal
1290976,Firefox,Sync,alex,RESOLVED,DUPLICATE,Add analytics for clicks on send tab notification UI, ---,P1,normal
1319576,Firefox,Sync,alex,RESOLVED,DUPLICATE,Create Dashboard for Validation Data in ReDash, ---,P1,normal
1480197,Firefox,Protections UI,amarchesini,RESOLVED,DUPLICATE,Crash in the content process due to an assertion in AntiTrackingCommon.cpp, ---,P1,normal
1512141,Firefox,Protections UI,amarchesini,RESOLVED,DUPLICATE,[Content Blocking] We don't dispatch STATE_COOKIES_BLOCKED_TRACKER when the response comes from the cache, ---,P1,normal
1514773,Firefox,Protections UI,amarchesini,RESOLVED,DUPLICATE,User is unable to login to Pinterest via Google account while content blocking is set to Standard, ---,P1,normal
1421430,Firefox,New Tab Page,andrei.br92,RESOLVED,DUPLICATE,Add a URL field the Top Site editor so users can pick their own imagery, ---,P1,normal
1421432,Firefox,New Tab Page,andrei.br92,RESOLVED,INVALID,Imported bookmarks don't show up in Highlights, ---,P1,normal
1497498,Firefox,Messaging System,andrei.br92,RESOLVED,DUPLICATE,"The ""CFR Recommendation"" add-ons cannot be installed anymore", ---,P1,normal
1501816,Firefox,Messaging System,andrei.br92,RESOLVED,DUPLICATE,Add message and targeting to Pin Tab CFR, ---,P1,normal
1513317,Firefox,Messaging System,andrei.br92,RESOLVED,DUPLICATE,Emergency off plan for about:welcome experiences based on site attribution - in this case Return to AMO, ---,P1,normal
1513819,Firefox,Messaging System,andrei.br92,RESOLVED,WONTFIX,Snippets Targeting: Local time, ---,P1,normal
1514749,Firefox,New Tab Page,andrei.br92,RESOLVED,INVALID,"The ""CFR"" recommendations are not triggered on Firefox Release 64", ---,P1,normal
1522551,Firefox,New Tab Page,andrei.br92,RESOLVED,WONTFIX,Mock experiment enrollment via ASRouter debug, ---,P1,normal
1525431,Firefox,New Tab Page,andrei.br92,RESOLVED,INVALID,Link navigation for cards, ---,P1,normal
1536483,Firefox,Messaging System,andrei.br92,RESOLVED,DUPLICATE,Review RTL / long and short strings for CFR template, ---,P1,normal
1537873,Firefox,Messaging System,andrei.br92,RESOLVED,WONTFIX,"The browser's ""Back"" button is wrongly active on the ""about:preferences#general"" page, if the page is opened from the CFR Pin Tab doorhanger", ---,P1,normal
1543125,Firefox,Messaging System,andrei.br92,RESOLVED,DUPLICATE,Land strings for FxA message, ---,P1,normal
1562166,Firefox,Messaging System,andrei.br92,RESOLVED,WONTFIX,"The ""CFR FxA Bookmark Panel Message"" is not correctly adjusted on the Firefox ""ru"" locale", ---,P1,normal
1574946,Firefox,Messaging System,andrei.br92,RESOLVED,INVALID,Create a new messaging system provider that points to the RS stage bucket with the same name, ---,P1,normal
1575931,Firefox,Messaging System,andrei.br92,RESOLVED,DUPLICATE,Add icon asset for Protection Report message, ---,P1,normal
1578385,Firefox,Messaging System,andrei.br92,RESOLVED,WONTFIX,"The “Dismiss” button from the ""FxA Bookmark Panel Message"" is not visibly selected when focused using the keyboard", ---,P1,normal
1583025,Firefox,Messaging System,andrei.br92,RESOLVED,DUPLICATE,Address bar pushes Hamburger button out of browser after expanding the browser width if whats-new-menu-button is displayed., ---,P1,normal
1589653,Firefox,Messaging System,andrei.br92,RESOLVED,WONTFIX,"The ""BOOKMARK_SYNC_CFR"" recommendation is wrongly triggered when a page is bookmarked", ---,P1,normal
1589731,Firefox,Messaging System,andrei.br92,RESOLVED,DUPLICATE,Update targeting for What's New and Firefox accounts badging, ---,P1,normal
1598429,Firefox,Messaging System,andrei.br92,RESOLVED,DUPLICATE,Allow configurable URL parameters in remote messages, ---,P1,normal
1609808,Firefox,Messaging System,andrei.br92,RESOLVED,DUPLICATE,Intermittent browser/components/newtab/test/browser/browser_onboarding_rtamo.js | Should render .ReturnToAMOOverlay - null == true -, ---,P1,normal
1615338,Firefox,Messaging System,andrei.br92,RESOLVED,INVALID,Land strings for What's New Panel content in Firefox 74, ---,P1,normal
1619981,Firefox,Messaging System,andrei.br92,RESOLVED,WONTFIX,Investigate low enrollment rate for Chrome Switchers experiment, ---,P1,normal
1656362,Firefox,Messaging System,andrei.br92,RESOLVED,INVALID,[CFR] Recommendation Request: Password Import, ---,P1, --
1660982,Firefox,Messaging System,andrei.br92,RESOLVED,DUPLICATE,Deploy messages WNPanel messages for 81, ---,P1,S3
1662542,Firefox,Messaging System,andrei.br92,RESOLVED,WONTFIX,Ion message for What's New Panel 85, ---,P1, --
1691149,Firefox,Messaging System,andrei.br92,RESOLVED,WONTFIX,Homepage remediation CFR Roll-out, ---,P1,S3
1716558,Firefox,Nimbus Desktop Client,andrei.br92,RESOLVED,DUPLICATE,Validate enrolled experiments whenever we call ExperimentManager.add in tests, ---,P1, --
1716889,Firefox,Messaging System,andrei.br92,RESOLVED,WORKSFORME,Intermittent toolkit/components/messaging-system/schemas/TriggerActionSchemas/test/browser/browser_asrouter_trigger_listeners.js | Found a tab after previous test timed out: https://example.com/browser/browser/components/newtab/test/browser/red_page.html, ---,P1,S4
1720366,Firefox,Messaging System,andrei.br92,RESOLVED,WONTFIX,"DoH CFR doorhanger: Do not show ""More secure, encrypted DNS lookups"" dialog to new users", ---,P1,S3
1733239,Firefox,Messaging System,andrei.br92,RESOLVED,WORKSFORME,Intermittent [tier 2] toolkit/components/messaging-system/schemas/SpecialMessageActionSchemas/test/browser/browser_sma_configure_homepage.js | uncaught exception - Error: No DOM node set for aPlacesNode., ---,P1,S4
1736551,Firefox,Messaging System,andrei.br92,RESOLVED,DUPLICATE,Messaging system should check for update notification doorhager, ---,P1, --
1743128,Firefox,Messaging System,andrei.br92,RESOLVED,DUPLICATE,Stop showing Mozilla VPN campaign messages in PBM in regions where it is not available, ---,P1,S3
331123,Firefox,Bookmarks & History,annie.sullivan,RESOLVED,DUPLICATE,no bookmarks in menu when no windows are open on Mac OS X, ---,P1,normal
348947,Firefox,Toolbars and Customization,asaf,RESOLVED,DUPLICATE,"When customizing toolbars, search box textfield still has I-beam cursor and is cannot be dragged", ---,P1,normal
575254,Firefox,Tabbed Browser,asaf,RESOLVED,DUPLICATE,Reduce TabBrowser XBL usage to minimum, ---,P1,normal
575258,Firefox,Tabbed Browser,asaf,RESOLVED,WONTFIX,Decouple the tabbrowser binding from its implementation, ---,P1,normal
327196,Firefox,Bookmarks & History,benjamin,RESOLVED,DUPLICATE,Build with --enable-places by default, ---,P1,normal
648664,Firefox,Extension Compatibility,benjamin,RESOLVED,INCOMPLETE,Create an MDC page listing all known XPCOM interface changes from Firefox 4 to 5, ---,P1,major
412862,Firefox,Preferences,bent.mozilla,RESOLVED,WONTFIX,Change the 'allow scripts to move or resize existing windows' pref to a whitelist, ---,P1,normal
1691777,Firefox,Toolbars and Customization,bigiri,RESOLVED,DUPLICATE,Remove What's New button, ---,P1,N/A
1751183,Firefox,New Tab Page,bigiri,RESOLVED,INVALID,Provide a link to about:addons in the Colorway Closet UI, ---,P1,N/A
1249978,Firefox,General,bill.mccloskey,RESOLVED,INVALID,[e10s] SLOW_SCRIPT_NOTICE_COUNT regressed in beta experiment, ---,P1,normal
1572174,Firefox,Address Bar,bmiroglio,RESOLVED,DUPLICATE,Define engagement success for the search nudges add-on experiment, ---,P1,normal
327160,Firefox,Installer,brettw,RESOLVED,INVALID,SpellCheck dictionary distribution strategy, ---,P1,normal
327367,Firefox,Bookmarks & History,brettw,RESOLVED,DUPLICATE,Some favicons are mis-sized, ---,P1,normal
327491,Firefox,Bookmarks & History,brettw,RESOLVED,WONTFIX,bookmarks_history.sqlite is way bigger than history.dat, ---,P1,normal
330359,Firefox,Bookmarks & History,brettw,RESOLVED,DUPLICATE,Host grouping doesn't get updated for visit dates, ---,P1,normal
325176,Firefox,Bookmarks & History,bryner,RESOLVED,INVALID,Ensure Places Migrates Correctly, ---,P1,normal
325285,Firefox,Bookmarks & History,bryner,RESOLVED,WONTFIX,Support multiple instances of the same URI in a single folder, ---,P1,normal
216436,Firefox,General,bugs,RESOLVED,WORKSFORME,"Firebird is crashy, find out why.", ---,P1,blocker
217410,Firefox,General,bugs,RESOLVED,INVALID,Bump skin version?, ---,P1,normal
