ID,ratings,reviews
122468,1,"Recently UBISOFT had to settle a huge class-action suit brought against the company for bundling (the notoriously harmful) StarFORCE DRM with its released games. So what the geniuses at the helm do next? They decide to make the same mistake yet again - by choosing the same DRM scheme that made BIOSHOCK, MASS EFFECT and SPORE infamous: SecuROM 7.xx with LIMITED ACTIVATIONS!

MASS EFFECT can be found in clearance bins only months after its release; SPORE not only undersold miserably but also made history as the boiling point of gamers lashing back, fed up with idiotic DRM schemes. And the clueless MBAs that run an art-form as any other commodity business decided that, ""hey, why not jump into THAT mud-pond ourselves?""

The original FAR CRY was such a GREAT game that any sequel of it would have to fight an uphill battle to begin with (especially without its original developing team). Now imagine shooting this sequel on the foot with a well known, much hated and totally useless DRM scheme that turns it into another Rent-A-Game no one wants. Were I a UBISOFT stock-holder I would be ordering my broker to ""Sell-Sell!-SELL!!"" instead of posting this...

Ever since its 7.xx version, SecuROM has NOTHING to do with ""fighting piracy"". All it does in this direction (blocking certain optical and virtual drives) is a very old, lame and already bypassed attempt that serves as a thin smoke-screen. SecuROM is, in fact, an intruding and silent Data-Miner and Root-Hijacker that is delivered by means of popular games.
That is why even the STEAM versions as well as the (free) Demos of such games are infected with it. SecuROM will borrow deep into our PC systems and will refuse to be removed completely even after uninstalling the game it came with. It will retain backdoor access and will keep reporting to its mothership.

Lately, these security concerns have been accentuated as known Trojans seem to be exploiting SecuROM's backdoor access for their own purposes. In effect, installing a SecuROM-infected game in our computer will be placing your hardware and data at risk long after having uninstalled the game.

And the latest vehicle to deliver this hazardous snoopware is FAR CRY 2 - a game crippled by LIMITED INSTALLATIONS! No, thanks. I think I 'll pass this one too.

The only people who do not care about SecuROM are, in fact,...pirates! Because cracking games ""protected"" by this contraption apparently is very easy. Every single game that was supposedly ""protected"" by SecuROM was cracked hours withing its release!
To everyone else though, SecuROM (or StarFORCE or any other hazardous DRM scheme) is a core issue that needs to be resolved before PC gaming can evolve any further. And the best way to resolve such issues is market correction.

That is why it is important for gamers to keep voting with their wallets. And as with any vote, well informed decisions are paramount in making the right choice."
495370,1,"code didn't work, got me a refund."
214717,1,"these do not work at all, all i get is static and they came with nothing in the box to give any help."
231734,1,"well let me start by saying that when i first started this game up i was so excited, but when i started playing OMG was i pissed off. The graphics where that of a xbox original, i am not joking they are some of the WORST graphics i have seen in a long time. NOT only are the graphics bad but the game play is not much better. Besides the fact that when you walk you look like you have something rather large in your butt making your player look VERY stiff, and has for the story, WAIT there was a story here??? well if there was anything to do with a story then i must have missed it, the so called story here is not at ALL good in fact it was just pain boring and luckily for me was VERY short beating it in under 2 hours. Ok now on to the level design, well lets just say that it was some of the worst i have seen. It goes like this, run into to dark boring room shoot a few bad guys or zombies then move to the next room that looks almost the same then repeat and do again for the next few hours. Ok so now i will move to the sound of the game, so the zombies when you kill them it sounds OK at best, but as for the sound of the guns WOW OMFG the worst EVER sounds weaker then a nerf guns!!!! the voice overs are very bad as well. Ok now onto the only kind of fun in this game, the only time i had ANY fun on this game was when i played with friends, but even still it was very boring. There is a ranking system that is mediocre at best, the more enemy's you kill the more XP you will get, and when you earn XP you can buy guns that won't really care to use because they all for the most part suck, or you can buy powers for the different players you can choose from. I would also like to add in the fact that when i you enemy it is almost completely random as to when they die, sometimes it will only take a few shoots to kill a simple solder and other time the same kind of enemy will take a clip and a half to kill, as well as that but the hit indication is very OFF. So i will wrap this up by saying this, DO NOT BUY THIS GAME, rent it first to see for yourself. i hope someone can find fun in this game, but for me i could not find much fun here.

I forgot to add in here that the AI IS THE WORST IN ANY GAME EVER. your team mates make no attempt whatsoever to avoid danger or even bother to shoot at the enemy, your friendly AI will spend the bulk of their time wasting ammo on a wall or ceiling if they are even shooting at ALL, the rest of the time they are just in your way block you in doorways or blocking your shots, never before have i ever seen AI worse than this. As for the enemy AI they are just as bad, half the time the enemy is just standing there as i am shooting them.

SO this game is pretty much a FAIL on every level, its a broken game, But lets hope that resident evil 6 will make up for this REALLY REALLY BAD GAME"
154709,1,"Dont waste your money, you will just end up using the nunchuck, or a classic controler in the end, and more over don't waste your money on the new Mario Cart, just keep, or get one of the older ones, its just recycled maps with new controls that aren't that good anyways."
172184,1,i ordered this and said it was tested and worked but it didn't work in my 64
100980,1,"UPDATE, 2010:  This review is pretty old, and now that we're in 2010 and I'm on even better hardware, I've had a chance to revisit Halo 2.  I still ran into DRM issues with the re-install, and if you already have Games for Windows Live you're going to find installing Halo 2 nearly impossible (I'll post details in the comments)...but if you can get it going in Windows 7, things do get better.  In the past month or so, I only lost my savegames on the Live server twice and have only had it crash itself once.  That said, here is the original review.  I hope it is helpful for you.

I bought Halo 2 for the PC excited about trying it on my brand-new Vista machine.  I have had it for over a year now and have yet to be able to actually play the game all the way through.
I went through the agony of having to create a Live account, and then having the game not ""see"" the account (but not let me log in because I'm ""already logged in"").  I experienced the unfun joys of having Halo 2 randomly tell me my savegame file is corrupted and I have to start again.  I had updates crash the game, my license key invalidate itself, and after unanswered support e-mails, it took me multiple calls and over 3 hours on the phone to get someone to fix the problem.  They had to do this by removing my license key, issuing me a new one, and telling me I'd lose all my ""achievements"" and account info.  That wasn't a great loss, since the program would regularly log me into Live, then say, ""You are not logged into Live.  You will not be able to have any Achievements.  Sorry about that.""  A lot of the messages I get in Halo 2 say, ""Sorry about that.""  Sorry, indeed.

By the time I actually got the game to work (with shuddering framerate and random dropouts in sound), I was just angry.  Angry at all the ""Sorry"" messages, angry at the hassle I have to click through just to load a saved game, and angry at the constant savegame level resets.  I see new Microsoft Games for Windows titles, and I feel I'd be stupid to put risk putting myself through that again."
480887,1,I WISH I COULD GET RID OF IT!!
203224,1,What in the hell is this i can say that some of it looks like part 5 but come on capcom now what happened now the only thing good on here is the demo to revelations and it's 40 dollars in the store now 3D or not the game isn't worth it and the revelations demo is fun but i couldn't beat it and plus if you buy it used you cant delete the last persons information in the game so you have to keep going where they left off
375683,1,"Could be a lot better with different surface material. Just felt weird in my hand with the glossyness to it. If it were all rough and not those ""rubber"" sides it would be OK."
