fid,Hg_con_PPB,Species,Location type,Forest type,Location type_1,time_bnds_1,Land cover/use,SoilQualityData; Nutrient availability,SoilQualityData; Excess salts,SoilQualityData; Workability,SoilQualityData; Toxicity,SoilQualityData; Rooting contitions,SoilQualityData; Oxygen availability to roots,SoilQualityData; Nutrient retention capacity,SoilLandCoverData; barren/very sparsely vegetated land,SoilLandCoverData; grass/scrub/woodland,"SoilLandCoverData; forest land, calibrated to FRA2000 land statistics",SoilLandCoverData; rain-fed cultivated land,"SoilLandCoverData; irrigated cultivated land, according to GMIA 4.0",SoilLandCoverData; total cultivated land,SoilLandCoverData; mapped water bodies,SoilLandCoverData; built-up land (residential and infrastructure),10m_Elevation
1,71.9,dwarf bamboo,volcano fumarolic activity,evergreen,volcano fumarolic activity,,4,1,1,2,1,2,1,1,0,8.64598465,87.92797852,2.637237072,0,2.637237072,0,0.788799942,877
2,65.8,dwarf bamboo,volcano fumarolic activity,evergreen,volcano fumarolic activity,,4,1,1,2,1,2,1,1,0,8.64598465,87.92797852,2.637237072,0,2.637237072,0,0.788799942,877
3,15.3,dwarf bamboo,volcano fumarolic activity,evergreen,volcano fumarolic activity,,4,1,1,2,1,2,1,1,0,8.64598465,87.92797852,2.637237072,0,2.637237072,0,0.788799942,877
4,18.3,dwarf bamboo,volcano fumarolic activity,evergreen,volcano fumarolic activity,,4,1,1,2,1,2,1,1,0,8.64598465,87.92797852,2.637237072,0,2.637237072,0,0.788799942,877
5,50,dwarf bamboo,volcano fumarolic activity,evergreen,volcano fumarolic activity,,4,1,1,2,1,2,1,1,0,8.64598465,87.92797852,2.637237072,0,2.637237072,0,0.788799942,877
6,20.8,dwarf bamboo,volcano fumarolic activity,evergreen,volcano fumarolic activity,,4,1,1,2,1,2,1,1,0,8.64598465,87.92797852,2.637237072,0,2.637237072,0,0.788799942,877
7,9.2,dwarf bamboo,volcano fumarolic activity,evergreen,volcano fumarolic activity,,4,1,1,2,1,2,1,1,0,8.64598465,87.92797852,2.637237072,0,2.637237072,0,0.788799942,877
8,4.1,dwarf bamboo,volcano fumarolic activity,evergreen,volcano fumarolic activity,,4,1,1,2,1,2,1,1,0,8.64598465,87.92797852,2.637237072,0,2.637237072,0,0.788799942,877
9,4.5,dwarf bamboo,volcano fumarolic activity,evergreen,volcano fumarolic activity,,4,1,1,2,1,2,1,1,0,8.64598465,87.92797852,2.637237072,0,2.637237072,0,0.788799942,877
10,3.4,dwarf bamboo,volcano fumarolic activity,evergreen,volcano fumarolic activity,,4,1,1,2,1,2,1,1,0,8.64598465,87.92797852,2.637237072,0,2.637237072,0,0.788799942,877
11,2150,Juniperus deppeana,mine dump,Coniferous,mine dump,,4,1,1,1,1,1,1,1,0,20.55878448,71.40348816,3.630728006,0,3.630728006,0,4.407000065,2751
12,2500,Juniperus deppeana,mine dump,Coniferous,mine dump,,4,1,1,1,1,1,1,1,0,20.55878448,71.40348816,3.630728006,0,3.630728006,0,4.407000065,2751
13,13840,Juniperus deppeana,mine dump,Coniferous,mine dump,,4,1,1,1,1,1,1,1,0,20.55878448,71.40348816,3.630728006,0,3.630728006,0,4.407000065,2751
14,42000,Juniperus deppeana,mine dump,Coniferous,mine dump,,4,1,1,1,1,1,1,1,0,20.55878448,71.40348816,3.630728006,0,3.630728006,0,4.407000065,2751
15,1890,Pinus spp.,mine adjacent forest,Coniferous,mine adjacent forest,,4,1,1,1,1,1,1,1,0,20.55878448,71.40348816,3.630728006,0,3.630728006,0,4.407000065,2751
16,4300,Pinus spp.,mine adjacent forest,Coniferous,mine adjacent forest,,4,1,1,1,1,1,1,1,0,20.55878448,71.40348816,3.630728006,0,3.630728006,0,4.407000065,2751
