,rating,review,review dictionary based sentiment
0,normal,"After closing tab, Space doesn't scroll down one page",0.0
1,normal,Promoting Picture in Picture using CFR,0.0
2, --,"Update ""personalize"" drawer drop shadow",0.0
3, --,Sponsored Topsites should retrieve their icons from Contile CDN,0.0
4, --,Add ability for New Tab Page to set a theme,0.0
5,normal,[e10s] Search engine add-ons using POST do not work with e10s,0.1
6,normal,Popup with search suggestions hides on 'mousedown' over some buttons,0.0
7,normal,Add Search Engine Button Does Not Work,0.14285714285714285
8,normal,One-off hover/mouseover color should be darker to match spec,-0.14285714285714285
9,normal,Icons in page action popup should explicitly set a fill color,0.0
10,normal,Couple Awesome Bar Composition (matchBuckets pref) to user's Address bar state (unified vs. 2 bar),0.07142857142857142
11,normal,Move UnifiedComplete.js to browser/components/urlbar,0.0
12,normal,Implement selection/highlighting,0.0
13,normal,The space around the identity box separator/divider is now asymmetrical,0.0
14,normal,[Nudges] Let extensions set the urlbar value or at least clear it,0.08333333333333333
15,normal,Don't use the fade gradient for tip text,0.0
16,normal,"Make proposal v2 for letting experiment extensions create their own result types with custom views, plus prototype",0.0
17,normal,Force the muxer to ignore built-in tips when extension tips are present,-0.09090909090909091
18,normal,NVDA screen reader doesn’t read the intervention cards “Get Help” button on mouseover,0.0
19,normal,Add analytics for clicks on send tab notification UI,0.0
20,normal,Create Dashboard for Validation Data in ReDash,0.0
21,normal,Crash in the content process due to an assertion in AntiTrackingCommon.cpp,-0.1
22,normal,[Content Blocking] We don't dispatch STATE_COOKIES_BLOCKED_TRACKER when the response comes from the cache,0.0
23,normal,User is unable to login to Pinterest via Google account while content blocking is set to Standard,-0.058823529411764705
24,normal,Add a URL field the Top Site editor so users can pick their own imagery,0.06666666666666667
25,normal,Imported bookmarks don't show up in Highlights,0.0
26,normal,"The ""CFR Recommendation"" add-ons cannot be installed anymore",0.125
27,normal,Add message and targeting to Pin Tab CFR,0.0
28,normal,Emergency off plan for about:welcome experiences based on site attribution - in this case Return to AMO,0.0
29,normal,Snippets Targeting: Local time,0.0
30,normal,"The ""CFR"" recommendations are not triggered on Firefox Release 64",0.1
31,normal,Mock experiment enrollment via ASRouter debug,-0.16666666666666666
32,normal,Link navigation for cards,0.0
33,normal,Review RTL / long and short strings for CFR template,0.0
34,normal,"The browser's ""Back"" button is wrongly active on the ""about:preferences#general"" page, if the page is opened from the CFR Pin Tab doorhanger",-0.041666666666666664
35,normal,Land strings for FxA message,0.0
36,normal,"The ""CFR FxA Bookmark Panel Message"" is not correctly adjusted on the Firefox ""ru"" locale",0.06666666666666667
37,normal,Create a new messaging system provider that points to the RS stage bucket with the same name,0.0
38,normal,Add icon asset for Protection Report message,0.14285714285714285
39,normal,"The “Dismiss” button from the ""FxA Bookmark Panel Message"" is not visibly selected when focused using the keyboard",0.0
40,normal,Address bar pushes Hamburger button out of browser after expanding the browser width if whats-new-menu-button is displayed.,0.0
