"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Change Request","Priority","Severity","Type"
1606620,"Firefox","Menus","nobody","UNCONFIRMED"," ---","right click context menu displaying in first screen while window in second screen"," ---","P1","critical","task"
1653320,"Firefox","Site Permissions","mconley","UNCONFIRMED"," ---","Global sharing indicator blocks access to menus in macOS"," ---","P2","S3","defect"
1355978,"Firefox","Tabbed Browser","nobody","UNCONFIRMED"," ---","show tab favicons immediately"," ---","P2","normal","defect"
1404034,"Firefox","Theme","nobody","UNCONFIRMED"," ---","Icon looks pixelated on gnome3"," ---","P2","normal","defect"
1404295,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","Firefox developer edition - default browser issue"," ---","P2","normal","defect"
1405504,"Firefox","Tabbed Browser","nobody","UNCONFIRMED"," ---","Can no longer scroll the tab bar using touch on win 10 and Firefox beta 57.0b5. Touch scrolling works on Firefox 56."," ---","P2","normal","defect"
1412693,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Sidebar state and button 'checked' state get out of sync in new private windows"," ---","P2","normal","defect"
1417384,"Firefox","Theme","nobody","UNCONFIRMED"," ---","Missing pixels in the corners on maximized window on high-density monitors"," ---","P2","trivial","defect"
1501937,"Firefox","Protections UI","nobody","UNCONFIRMED"," ---","tracking-protection-issues.herokuapp.com"," ---","P2","normal","defect"
1504591,"Firefox","Theme","nobody","UNCONFIRMED"," ---","Resize full screen get black skin border bug."," ---","P2","normal","defect"
1529446,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Menus misplaced after adjusting GNOME HiDpi scaling"," ---","P2","normal","defect"
1579574,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","Preferences show Firefox is the default browser when it is not associated with html files"," ---","P2","normal","defect"
1600213,"Firefox","Pocket","nobody","UNCONFIRMED"," ---","Be consistent with use of red for Pocket"," ---","P2","normal","enhancement"
1612789,"Firefox","Bookmarks & History","nobody","UNCONFIRMED"," ---","Dragging imported folders in bookmark manager does not move all nested bookmarks"," ---","P2","normal","defect"
1621301,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","Firefox does not load webpages from the new tab page since 74.0 update"," ---","P2","normal","defect"
1628652,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","New tab stays bright when using Firefox Default scheme with dark system"," ---","P2","normal","defect"
1636466,"Firefox","about:logins","nobody","UNCONFIRMED"," ---","Show passwords in about:logins asks for wrong Windows credentials (smart card instead of user-password)"," ---","P2","S3","defect"
